playerIndex,replayId,coName,userName
1,6433,Lin,Heroes
2,6433,Tabitha,Tee Lord
1,6428,Will,Chan ' tcho
2,6428,Grat,Ritmo
1,6425,Brenner,SSAO
2,6425,Will,TMQs
1,6424,Isabella,SSAO
2,6424,Hawk,Chopstix
1,6422,Caulder,ePiiC PaNiiC
2,6422,Hawk,Chopstix
1,6420,Tabitha,Nanao
2,6420,Will,PhantomFullForce
1,6419,Isabella,Getaway Driver
2,6419,Gage,rook
1,6415,Grat,rook
2,6415,Mira,Nanao
1,6414,Will,Mini Nini
2,6414,Hawk,Chopstix
1,6412,Mira,TMQs
2,6412,Hawk,Chopstix
1,6410,Penny,Getaway Driver
2,6410,Tabitha,Nanao
1,6409,Tabitha,Nanao
2,6409,Tasha,Getaway Driver
1,6408,Waylon,Nanao
2,6408,Will,Chopstix
1,6407,Forsythe,Wrek
2,6407,Brenner,Barondoctor
1,6403,Waylon,Draco
2,6403,Tinker,Abreu
1,6402,Penny,DM11
2,6402,Brenner,Draco
1,6394,Lin,Heroes
2,6394,Hawk,Ndrangheta'
1,6390,Lin,Heroes
2,6390,Hawk,Chopstix
1,6389,Lin,Heroes
2,6389,Tinker,Mike Zack
1,6386,Penny,Nanao
2,6386,Will,Lordofcold
1,6385,Lin,Chopstix
2,6385,Lin,BWAVE
1,6378,Waylon,Ndrangheta'
2,6378,Mira,Mini Nini
1,6374,Lin,Lordofcold
2,6374,Grat,SparkFox
1,6372,Hawk,Ritmo
2,6372,Penny,SparkFox
1,6370,Brenner,SSAO
2,6370,Brenner,Ritmo
1,6369,Forsythe,Ndrangheta'
2,6369,Forsythe,Draco
1,6366,Penny,DM11
2,6366,Grat,Mini Nini
1,6365,Tinker,Jonathan2357
2,6365,Forsythe,Deremius
1,6364,Caulder,PhantomFullForce
2,6364,Brenner,Ndrangheta'
1,6363,Hawk,Chopstix
2,6363,Hawk,Tee Lord
1,6362,Grat,SparkFox
2,6362,Penny,BusterBeachside
1,6357,Lin,Lolom
2,6357,Waylon,Tee Lord
1,6356,Lin,Heroes
2,6356,Tinker,Mike Zack
1,6354,Hawk,Mini Nini
2,6354,Hawk,Lordofcold
1,6353,Will,sarastro
2,6353,Zhaotiantong,Plague
1,6351,Penny,Nanao
2,6351,Lee,SparkFox
1,6350,Zhaotiantong,GM667_
2,6350,Isabella,BWAVE
1,6348,Caulder,Draco
2,6348,Mira,Chopstix
1,6347,Hawk,Chopstix
2,6347,Lin,Heroes
1,6346,Waylon,TMQs
2,6346,Hawk,Ndrangheta'
1,6345,Will,Wrek
2,6345,Lin,Heroes
1,6342,Gage,GM667_
2,6342,Lin,Chan ' tcho
1,6341,Lin,Heroes
2,6341,Brenner,Chopstix
1,6340,Hawk,Chopstix
2,6340,Zhaotiantong,BWAVE
1,6338,Isabella,Mini Nini
2,6338,Isabella,Lordofcold
1,6336,Brenner,ePiiC PaNiiC
2,6336,Lee,DM11
1,6334,Forsythe,PhantomFullForce
2,6334,Zhaotiantong,Mini Nini
1,6333,Isabella,PhantomFullForce
2,6333,Isabella,Mini Nini
1,6332,Isabella,PhantomFullForce
2,6332,Hawk,Chopstix
1,6329,Hawk,Chopstix
2,6329,Hawk,Tee Lord
1,6327,Lin,Heroes
2,6327,Hawk,Getaway Driver
1,6325,Tabitha,Nanao
2,6325,Lin,Heroes
1,6324,Penny,Frodoor
2,6324,Penny,Nanao
1,6322,Gage,Mini Nini
2,6322,Grat,Ndrangheta'
1,6321,Lin,Heroes
2,6321,Brenner,Ritmo
1,6317,Will,GM667_
2,6317,Tinker,Mike Zack
1,6309,Hawk,Lordofcold
2,6309,Hawk,Mini Nini
1,6306,Isabella,Lordofcold
2,6306,Brenner,Ritmo
1,6304,Brenner,Ritmo
2,6304,Brenner,Getaway Driver
1,6300,Hawk,Chopstix
2,6300,Lin,Heroes
1,6299,Waylon,Heroes
2,6299,Hawk,Chopstix
1,6295,Tabitha,NotGosst
2,6295,Caulder,CaioSantso
1,6292,Waylon,Lolom
2,6292,Lin,Heroes
1,6287,Gage,TMQs
2,6287,Caulder,Lordofcold
1,6286,Tabitha,Tee Lord
2,6286,Tinker,Mike Zack
1,6285,Will,PhantomFullForce
2,6285,Lin,Nanao
1,6284,Forsythe,Chan ' tcho
2,6284,Lin,Heroes
1,6283,Will,sarastro
2,6283,Lin,Frodoor
1,6282,Brenner,ePiiC PaNiiC
2,6282,Brenner,Ndrangheta'
1,6280,Brenner,Ritmo
2,6280,Brenner,PhantomFullForce
1,6279,Lee,Mini Nini
2,6279,Isabella,Ritmo
1,6278,Hawk,Chopstix
2,6278,Will,Airmaster
1,6277,Lin,Abreu
2,6277,Tabitha,BWAVE
1,6276,Forsythe,Heroes
2,6276,Brenner,PhantomFullForce
1,6270,Tabitha,Tayufa
2,6270,Lin,PhantomFullForce
1,6268,Lin,Heroes
2,6268,Lin,PhantomFullForce
1,6266,Lin,Heroes
2,6266,Tabitha,Nanao
1,6265,Tabitha,Wrek
2,6265,Lin,Heroes
1,6264,Hawk,Ritmo
2,6264,Caulder,Deremius
1,6263,Hawk,Chopstix
2,6263,Isabella,BusterBeachside
1,6259,Tabitha,Nanao
2,6259,Lin,Heroes
1,6258,Tinker,Mike Zack
2,6258,Tabitha,Tee Lord
1,6257,Tabitha,Nanao
2,6257,Lin,Heroes
1,6255,Tabitha,Nanao
2,6255,Mira,Deremius
1,6254,Lin,Nanao
2,6254,Will,Deremius
1,6252,Tabitha,Mini Nini
2,6252,Tabitha,Ndrangheta'
1,6249,Caulder,Mini Nini
2,6249,Caulder,Rush_FTK
1,6248,Caulder,Nanao
