Part Number,Quantity,Description,Length
35,1,Tube 1.0 x 0.049,14.9
43,1,Tube 1.0 x 0.049,13.05
36,1,Tube 1.0 x 0.049,14.9
44,1,Tube 1.0 x 0.049,13.05
19,1,Tube 1.0 x 0.049,30.59
20,1,Tube 1.0 x 0.049,30.59
66,1,Tube 1.0 x 0.049,22.43
47,1,Tube 1.0 x 0.049,12.13
48,1,Tube 1.0 x 0.049,12.13
68,1,Tube 1.0 x 0.049,22.32
67,1,Tube 1.0 x 0.049,22.32
49,1,Tube 1.0 x 0.049,6.09
50,1,Tube 1.0 x 0.049,6.09
72,1,Tube 1.0 x 0.049,20.52
